Year,BurnedHectares
1904,101.175
1905,1335.51
1906,751.1232
1907,46.5405
1908,242.82
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,273.1725
1916,20.235
1917,44.517
1918,10.1175
1919,1579.34175
1920,1579.34175
1921,191.4231
1922,191.4231
1923,1982.6253
1924,1982.6253
1925,80.94
1926,2203.5915
1927,5.6658
1928,494.9481
1929,424.1256
1930,0
1931,660.0657
1932,1.6188
1933,135.1698
1934,135.1698
1935,100.7703
1936,198.303
1937,0
1938,10.1175
1939,2.8329
1940,8365.9584
1941,424.5303
1942,33.5901
1943,1118.9955
1944,1220.1705
1945,2327.8344
1946,191.0184
1947,20.235
1948,20.235
1949,358.1595
1950,358.1595
1951,60.705
1952,60.705
1953,0
1954,0
1955,1668.5781
1956,2.0235
1957,86.6058
1958,516.3972
1959,189.8043
1960,10682.8659
1961,785.5227
1962,1397.0244
1963,2340.3801
1964,19.0209
1965,1658.0559
1966,857.964
1967,2659.6884
1968,5398.2933
1969,18423.1581
1970,5764.9515
1971,789.5697
1972,3314.493
1973,7271.6496
1974,1068.408
1975,1391.3586
1976,2784.7407
1977,156.0701268
1978,0
1979,57.3787707
1980,384.6936555
1981,273.4306986
1982,6.4804611
1983,3883.97308
1984,12.6877497
1985,356.4460002
1986,385.8595962
1987,5831.697457
1988,63.9114381
1989,433.0540914
1990,1704.7514
1991,572.9265054
1992,5397.282764
1993,1195.413382
1994,8172.26898
1995,3872.29101
1996,217.6189263
1997,152.61237
1998,15101.29956
1999,8246.08626
2000,2697.894508
2001,962.41707
2002,2901.711141
2003,10308.87777
2004,1877.92334
2005,18752.90766
2006,5922.926145
2007,15585.96828
2008,3480.100287
2009,5349.450057
2010,7987.329174
2011,1912.08609
2012,6719.015562
2013,1676.069097
2014,1418.153787
2015,5546.288043
2016,9224.913915
2017,3426.991506
2018,13106.6142
2019,9291.912
2020,7997.2767
2021,18634.0068
2022,7325.07
