Year,LandCover,BurnedHectares
1999,Other,60.96136907697767
2001,Other,85.6329618928954
2002,Sugar,93.77956473303661
2005,Sugar,142.3330388307873
2006,Pasture,1773.848664478252
2006,Sugar,95.57152113256976
2007,Sugar,1706.4945550573389
2008,Pineapple,1623.5328763092584
2010,Pasture,1946.4154860361905
2010,Sugar,293.36638308530604
2015,Sugar,112.00194828064926
2016,Pasture,1945.9403305902101
2016,Sugar,572.0781121831432
2018,Sugar,1002.368778702957
2018,Other,28.10979000780743
2019,Pasture,1940.146932579704
2019,Sugar,373.4662277393671
2020,Pineapple,170.15720683643548
2020,Sugar,268.7195947504655
2022,Sugar,671.7030158575769
2023,Sugar,927.1968626967773
